ART;Descripcion;SKU; COSTO ACTUAL ;AUMENTO
4001;HEREFORD  MALBEC 6X750 ;14029; $ 280,49 ;17,00%
4004;HEREFORD CABERNET 6X750 ;14030; $ 280,49 ;17,00%
4020;SUTER BI-VARIETAL CABMER 6X750 ;20201; $ 280,49 ;17,00%
4022;SUTER BI-VARIETAL MALBON 6X750 ;20205; $ 280,49 ;17,00%
4025;SUTER VARIETAL SYRAH 6X750 ;20252; $ 280,49 ;11,43%
4041;SAN TELMO SEL CAB SAUV 6X750 ;80002; $ 294,52 ;22,85%
4042;SAN TELMO SEL CHARDONNA  6X750 ;80003; $ 294,52 ;17,00%
4043;SAN TELMO SEL MALBEC 6X750 ;80004; $ 294,52 ;17,00%
4045;SAN TELMO SANGRIA 6X750;80078; $ 406,43 ;17,00%
4046;SAN TELMO TINTO 6X1125;80079; $ 397,60 ;17,00%
4054;FRIZZE EVOL BLUE NEW 6X1000;14583; $ 222,86 ;20,00%
4055;FRIZZE EVOL BLUE LATA 4x6x473;14594; $ 132,02 ;20,00%
4065;FRIZZE IT LIM NEW 6X1000;14585; $ 222,86 ;20,00%
4066;FRIZZE IT POM NEW 6X1000;14587; $ 222,86 ;20,00%
4070;MINGO LIMON P&J 4x6x355;14597; $ 127,46 ;20,00%
4071;MINGO MARACUYA G&C 4x6x355;14599; $ 127,46 ;20,00%
4072;MINGO POMELO RM&C 4x6x355;14600; $ 127,46 ;20,00%
4073;MINGO POMELO 6x750;14604; $ 251,46 ;20,00%
4074;MINGO LIMON 6x750;14601; $ 251,46 ;20,00%
4075;MINGO MARACUYA 6x750;14603; $ 251,46 ;20,00%
4101;TRAPICHE ALARIS CABSAUV 6X750 ;70750; $ 339,22 ;17,00%
4102;TRAPICHE ALARIS CHARD 6X750 ;70751; $ 339,22 ;17,00%
4104;TRAPICHE ALARIS MALBEC 6X750 ;71704; $ 339,22 ;17,00%
4105;TRAPICHE ALARIS SBLANC 6X750 ;71706; $ 339,22 ;17,00%
4108;TRAPICHE ALARIS MALBEC 12X375 ;71738; $ 203,53 ;17,00%
4111;TRAPICHE ALARIS SYRAH 6X750 ;74058; $ 339,22 ;17,00%
4112;TRAPICHE ALARIS TEMPRAN. 6X750 ;74187; $ 339,22 ;17,00%
4114;TRAPICHE D.COSECHA 6X750 ;74188; $ 339,22 ;17,00%
4115;TRAPICHE D.COSECHA ROSE 6X750 ;74478; $ 339,22 ;17,00%
4200;F.LAS MORAS CABSAU 6X750 ;72857; $ 339,22 ;17,00%
4201;F.LAS MORAS SYRAH 6X750 ;72858; $ 339,22 ;17,00%
4202;F.LAS MORAS MALBEC 6X750 ;72859; $ 339,22 ;17,00%
4203;F.LAS MORAS BONARDA 6X750 ;74051; $ 339,22 ;17,00%
4204;F.LAS MORAS SAUV.BLANC 6X750 ;74167; $ 339,22 ;17,00%
4205;F.LAS MORAS MALBEC 12X375 ;74268; $ 203,53 ;-37,44%
4207;F.LAS MORAS BCO.DLCE 6X750 ;74509; $ 339,22 ;17,00%
4209;FAIR FOR LIFE MALBEC 6X750;74721; $ 400,70 ;17,00%
4210;FAIR FOR LIFE CAB SAUV 6X750;74722; $ 400,70 ;17,00%
4211;FAIR FOR LIFE CHARDONAY 6X750;74723; $ 400,70 ;17,00%
4233;NC DOLORES CHARDONNAY 6X750;80065; $ 489,75 ;17,00%
4250;LOS ARBOLES SEL CABERNET 6X750 ;80007; $ 380,67 ;22,85%
4251;LOS ARBOLES SEL CHARD 6X750 ;80008; $ 380,67 ;17,00%
4252;LOS ARBOLES SEL DULCE 6X750 ;80009; $ 380,67 ;17,00%
4253;LOS ARBOLES SEL MALBEC 6X750 ;80010; $ 380,67 ;17,00%
4254;LOS ARBOLES SEL RED BLEND 6X750 ;80089; $ 380,67 ;17,00%
4270;EL BAUTISMO MALBEC 6X750 ;14507; $ 373,14 ;17,00%
4271;EL BAUTISMO BLEND TINTAS 6X750 ;14508; $ 373,14 ;17,00%
4272;EL BAUTISMO BLEND B.DLCE 6X750 ;14509; $ 373,14 ;17,00%
4273;EL BAUTISMO ROSADO 6X750 ;14510; $ 373,14 ;17,00%
4281;ELEMENTOS CABSAUV 6X750 ;42101; $ 400,70 ;17,00%
4282;ELEMENTOS MALBEC 6X750 ;42102; $ 400,70 ;17,00%
4283;ELEMENTOS SYRAH 6X750 ;42103; $ 400,70 ;17,00%
4284;ELEMENTOS TANNAT 6X750 ;42104; $ 400,70 ;17,00%
4285;ELEMENTOS TORRONTES 6X750 ;42105; $ 400,70 ;17,00%
4286;ELEMENTOS CHARDONNAY 6X750 ;42107; $ 400,70 ;17,00%
4287;ELEMENTOS TORRONTES DLCE 6X750 ;42113; $ 400,70 ;17,00%
4288;ELEMENTOS MALBEC 12X375 ;44280; $ 240,42 ;17,00%
4289;ELEMENTOS TORRONTES 12X375 ;44281; $ 240,42 ;17,00%
4290;ELEMENTOS ROSADO TORRONT 6X750 ;44314; $ 400,70 ;17,00%
4300;ALMA MORA CABSAUV6X750 ;74208; $ 445,23 ;17,00%
4301;ALMA MORA SYRAH 6X750 ;74209; $ 445,23 ;17,00%
4302;ALMA MORA MALBEC 6X750 ;74210; $ 445,23 ;17,00%
4303;ALMA MORA CHARD 6X750 ;74211; $ 445,23 ;17,00%
